epsilon,method,n,h,max_error,rate
0.3,central,10,0.1,2.822931741735e-03,NaN
0.3,central,25,0.04,4.499206541979e-04,2.00423287
0.3,central,50,0.02,1.125304551701e-04,1.99935509
0.3,central,100,0.01,2.812054133372e-05,2.00061923
0.3,central,200,0.005,7.029665518132e-06,2.00009642
0.3,central,400,0.0025,1.757420905246e-06,1.99999628
0.3,central,800,0.00125,4.393526173985e-07,2.00000857
0.3,upwind,10,0.1,4.288103004136e-02,NaN
0.3,upwind,25,0.04,1.888533635019e-02,0.89496024
0.3,upwind,50,0.02,9.771921587198e-03,0.95055229
0.3,upwind,100,0.01,4.971801110497e-03,0.97487370
0.3,upwind,200,0.005,2.508221369121e-03,0.98710390
0.3,upwind,400,0.0025,1.259694905070e-03,0.99359032
0.3,upwind,800,0.00125,6.312540026023e-04,0.99678182
0.1,central,10,0.1,3.452869855592e-02,NaN
0.1,central,25,0.04,4.894057709659e-03,2.13225890
0.1,central,50,0.02,1.230716676321e-03,1.99153244
0.1,central,100,0.01,3.066740704076e-04,2.00472058
0.1,central,200,0.005,7.660603455584e-05,2.00117624
0.1,central,400,0.0025,1.914760865596e-05,2.00029382
0.1,central,800,0.00125,4.786658665878e-06,2.00007339
0.1,upwind,10,0.1,1.316604998072e-01,NaN
0.1,upwind,25,0.04,6.312772952066e-02,0.80221974
0.1,upwind,50,0.02,3.396109857921e-02,0.89439074
0.1,upwind,100,0.01,1.764795606309e-02,0.94438202
0.1,upwind,200,0.005,9.002705747574e-03,0.97107053
0.1,upwind,400,0.0025,4.547661142258e-03,0.98523391
0.1,upwind,800,0.00125,2.285620790365e-03,0.99253869
0.05,central,10,0.1,1.353352814544e-01,NaN
0.05,central,25,0.04,2.075753477181e-02,2.04612564
0.05,central,50,0.02,4.897915279199e-03,2.08339539
0.05,central,100,0.01,1.231609036097e-03,1.99162346
0.05,central,200,0.005,3.068987676307e-04,2.00470960
0.05,central,400,0.0025,7.666230942593e-05,2.00117349
0.05,central,800,0.00125,1.916168365446e-05,2.00029313
0.05,upwind,10,0.1,1.979867616292e-01,NaN
0.05,upwind,25,0.04,1.067451719533e-01,0.67419185
0.05,upwind,50,0.02,6.323724502083e-02,0.75532440
0.05,upwind,100,0.01,3.399812492578e-02,0.89531934
0.05,upwind,200,0.005,1.766384632538e-02,0.94465565
0.05,upwind,400,0.0025,9.010040920682e-03,0.97119396
0.05,upwind,800,0.00125,4.551182175053e-03,0.98529232
0.0005,central,10,0.1,9.923741484149e+00,NaN
0.0005,central,25,0.04,9.260111881784e-01,2.58847863
0.0005,central,50,0.02,9.176289816354e-01,0.01311867
0.0005,central,100,0.01,8.181818237474e-01,0.16548947
0.0005,central,200,0.005,6.667120665964e-01,0.29535765
0.0005,central,400,0.0025,4.353093755705e-01,0.61502275
0.0005,central,800,0.00125,1.931961097350e-01,1.17197505
0.0005,central,1600,0.000625,5.573556609097e-02,1.79339590
0.0005,central,3200,0.0003125,1.212837962664e-02,2.20021142
0.0005,central,6400,0.00015625,3.020547808842e-03,2.00550469
0.0005,upwind,10,0.1,4.975124378111e-03,NaN
0.0005,upwind,25,0.04,1.234567901235e-02,-0.99188579
0.0005,upwind,50,0.02,2.439024390244e-02,-0.98229800
0.0005,upwind,100,0.01,4.761904555789e-02,-0.96523452
0.0005,upwind,200,0.005,9.086369097933e-02,-0.93216521
0.0005,upwind,400,0.0025,1.599287196676e-01,-0.81565322
0.0005,upwind,800,0.00125,2.036292870904e-01,-0.34851603
0.0005,upwind,1600,0.000625,1.579396475842e-01,0.36657170
0.0005,upwind,3200,0.0003125,9.219342799187e-02,0.77663756
0.0005,upwind,6400,0.00015625,5.067922377047e-02,0.86326948
