n,omega,iterations,max_error,converged
16,1.00,506,2.909922168992e-03,1
16,1.05,460,2.909945110580e-03,1
16,1.10,418,2.909967522685e-03,1
16,1.15,379,2.909985859457e-03,1
16,1.20,343,2.910003575363e-03,1
16,1.25,310,2.910023738768e-03,1
16,1.30,279,2.910041188226e-03,1
16,1.35,249,2.910050353285e-03,1
16,1.40,222,2.910069367317e-03,1
16,1.45,196,2.910084386632e-03,1
16,1.50,171,2.910097717369e-03,1
16,1.55,147,2.910112033215e-03,1
16,1.60,123,2.910123433788e-03,1
16,1.65,99,2.910139827776e-03,1
16,1.70,70,2.910155526737e-03,1
16,1.75,66,2.910182993656e-03,1
16,1.80,84,2.910187495224e-03,1
16,1.85,111,2.910178236470e-03,1
16,1.88,140,2.910175585019e-03,1
16,1.89,151,2.910192094708e-03,1
16,1.90,167,2.910203832727e-03,1
16,1.91,188,2.910186496645e-03,1
16,1.92,211,2.910166626301e-03,1
16,1.93,243,2.910184665464e-03,1
16,1.94,281,2.910168857340e-03,1
16,1.95,338,2.910173334997e-03,1
16,1.96,428,2.910178982537e-03,1
16,1.97,566,2.910187817844e-03,1
16,1.98,861,2.910191060756e-03,1
32,1.00,1839,7.294744526335e-04,1
32,1.05,1675,7.295707551688e-04,1
32,1.10,1525,7.296612155437e-04,1
32,1.15,1387,7.297450238791e-04,1
32,1.20,1259,7.298189478403e-04,1
32,1.25,1141,7.298935975091e-04,1
32,1.30,1030,7.299543676614e-04,1
32,1.35,927,7.300170856482e-04,1
32,1.40,830,7.300727645256e-04,1
32,1.45,739,7.301276281294e-04,1
32,1.50,652,7.301710811318e-04,1
32,1.55,570,7.302166461234e-04,1
32,1.60,492,7.302615772473e-04,1
32,1.65,418,7.303119755053e-04,1
32,1.70,345,7.303499060431e-04,1
32,1.75,274,7.303963429540e-04,1
32,1.80,201,7.304474792913e-04,1
32,1.85,116,7.305493134285e-04,1
32,1.88,139,7.305623095539e-04,1
32,1.89,156,7.305393108972e-04,1
32,1.90,167,7.305739688898e-04,1
32,1.91,188,7.305433878988e-04,1
32,1.92,207,7.305525159730e-04,1
32,1.93,237,7.305675818242e-04,1
32,1.94,283,7.305367755464e-04,1
32,1.95,331,7.305850294884e-04,1
32,1.96,420,7.305287297674e-04,1
32,1.97,550,7.305776206710e-04,1
32,1.98,834,7.305640833747e-04,1
64,1.00,6601,1.783593118326e-04,1
64,1.05,6021,1.787512675477e-04,1
64,1.10,5488,1.791014177622e-04,1
64,1.15,4998,1.794301200917e-04,1
64,1.20,4544,1.797267978736e-04,1
64,1.25,4123,1.800047646824e-04,1
64,1.30,3730,1.802567224359e-04,1
64,1.35,3363,1.804940524542e-04,1
64,1.40,3018,1.807091575844e-04,1
64,1.45,2694,1.809147972455e-04,1
64,1.50,2388,1.811058371400e-04,1
64,1.55,2098,1.812830251600e-04,1
64,1.60,1823,1.814537465521e-04,1
64,1.65,1561,1.816166901915e-04,1
64,1.70,1309,1.817622294208e-04,1
64,1.75,1068,1.819154979069e-04,1
64,1.80,833,1.820576939839e-04,1
64,1.85,600,1.821980241942e-04,1
64,1.88,457,1.822954312850e-04,1
64,1.89,407,1.823324591177e-04,1
64,1.90,354,1.823723930426e-04,1
64,1.91,294,1.824153542350e-04,1
64,1.92,207,1.826060446639e-04,1
64,1.93,246,1.825980676071e-04,1
64,1.94,275,1.826058108276e-04,1
64,1.95,331,1.826126024180e-04,1
64,1.96,404,1.825800426939e-04,1
64,1.97,530,1.826201266443e-04,1
64,1.98,816,1.826061976664e-04,1
